,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
1437,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1438,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,Au moins une fois par semaine,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1439,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1440,18-24 ans,Moins souvent,Moins souvent,Au moins une fois par mois,Moins souvent,Moins souvent,Jamais,Jamais,Au moins une fois par mois,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1441,18-24 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1442,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par mois,Moins souvent,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1443,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1444,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1445,18-24 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1446,18-24 ans,Jamais,Au moins une fois par semaine,Jamais,Jamais,Au moins une fois par semaine,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1447,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1448,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1449,35-44 ans,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,
1450,18-24 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Moins souvent,Moins souvent,Jamais,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1451,45-59 ans,Moins souvent,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par mois,Au moins une fois par mois,Jamais,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1452,18-24 ans,Jamais,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par mois,Jamais,Jamais,Au moins une fois par mois,"En utilisant un moteur de recherche (Google, Safari, …)"
1453,18-24 ans,Moins souvent,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1454,70 ans et +,Jamais,Plusieurs fois par jour,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1455,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1456,15-17 ans,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1457,25-34 ans,Moins souvent,Au moins une fois par semaine,Jamais,Moins souvent,Au moins une fois par mois,Jamais,Au moins une fois par mois,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1458,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1459,45-59 ans,Au moins une fois par semaine,Moins souvent,Moins souvent,Moins souvent,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1460,70 ans et +,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Jamais,Moins souvent,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1461,70 ans et +,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1462,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1463,60-69 ans,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1464,35-44 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par semaine,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1465,35-44 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1466,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Moins souvent,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1467,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1468,45-59 ans,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Jamais,Au moins une fois par semaine,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1469,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1470,25-34 ans,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1471,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1472,15-17 ans,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1473,60-69 ans,Jamais,Au moins une fois par jour,Jamais,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1474,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1475,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Moins souvent,Moins souvent,Jamais,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1476,35-44 ans,Au moins une fois par jour,Moins souvent,Jamais,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
1477,35-44 ans,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Jamais,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1478,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1479,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1480,70 ans et +,Jamais,Plusieurs fois par jour,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1481,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1482,60-69 ans,Jamais,Au moins une fois par mois,Moins souvent,Moins souvent,Au moins une fois par mois,Moins souvent,Plusieurs fois par jour,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
1483,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1484,60-69 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par mois,Moins souvent,Au moins une fois par mois,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1485,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1486,18-24 ans,Jamais,Jamais,Jamais,Jamais,Plusieurs fois par jour,Jamais,Jamais,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
1487,18-24 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1488,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
